Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11
0.42,0.9968,3.21,48.0,0.59,0.084,10.0,15.0,7.6,2.7,0.08
0.86,0.99598,3.6,57.0,0.74,0.1,11.7,20.0,6.7,2.0,0.07
0.885,0.9972,3.36,8.0,0.33,0.058,9.1,4.0,7.9,1.8,0.03
0.51,0.995,3.54,54.0,0.93,0.064,10.7,40.0,6.0,2.1,0.0
0.54,0.9964,3.39,78.0,0.71,0.084,11.0,12.0,7.2,2.6,0.27
0.59,0.9988,3.26,47.0,0.67,0.101,9.6,20.0,9.2,3.3,0.24
0.35,0.99576,3.43,48.0,0.54,0.067,10.0,28.0,7.3,2.0,0.24
0.61,0.9969,3.19,42.0,0.59,0.067,9.5,10.0,8.8,2.4,0.14
0.41,0.99572,3.42,54.0,1.16,0.076,10.6,22.0,6.7,2.8,0.43
0.39,0.9982,3.52,71.0,0.65,0.082,9.7,23.0,7.6,2.3,0.31
0.29,0.9969,3.25,37.0,0.58,0.113,9.5,12.0,8.7,1.6,0.52
0.49,0.9968,3.11,88.0,0.8,0.236,9.3,10.0,7.6,1.6,0.26
0.55,0.9962,3.21,56.0,0.6,0.119,10.9,14.0,8.8,2.2,0.04
0.53,0.99573,3.21,22.0,0.68,0.058,9.9,18.0,7.2,2.0,0.13
0.31,0.9965,2.94,127.0,1.62,0.053,9.5,36.0,7.1,2.2,0.3
0.62,0.9978,3.34,45.0,0.53,0.084,9.5,25.0,7.7,3.8,0.04
0.765,0.998,3.29,14.0,0.54,0.078,9.7,4.0,9.1,1.6,0.04
0.695,0.9968,3.49,56.0,0.67,0.075,9.2,12.0,6.6,2.1,0.0
0.57,0.99448,3.44,11.0,0.76,0.048,10.8,4.0,6.2,2.1,0.1
0.59,0.9994,3.18,62.0,0.63,0.09,10.2,26.0,10.0,2.2,0.31
0.77,0.99656,3.27,74.0,0.5,0.079,9.8,16.0,8.0,2.1,0.32
0.48,0.99524,3.1,111.0,0.53,0.08,9.7,36.0,6.7,2.2,0.02
0.31,0.99356,3.22,35.0,0.59,0.082,12.5,26.0,7.6,2.5,0.34
0.4,0.9984,3.08,17.0,0.67,0.084,9.3,7.0,10.8,2.2,0.41
0.53,1.0002,3.07,17.0,0.56,0.118,11.7,10.0,10.9,4.6,0.49
0.54,0.9978,3.39,40.0,0.61,0.077,10.0,11.0,8.3,1.9,0.28
1.02,0.9984,3.08,88.0,0.57,0.076,10.1,26.0,10.6,2.9,0.43
0.725,0.9977,3.29,79.0,0.54,0.073,9.2,29.0,6.6,7.8,0.2
0.685,0.9984,3.19,31.0,0.7,0.077,10.1,6.0,9.4,2.7,0.11
0.32,0.99464,3.36,32.0,0.44,0.086,10.1,5.0,6.1,1.8,0.25
0.315,0.99512,3.27,6.0,0.67,0.079,11.9,3.0,8.6,2.2,0.4
0.39,0.9982,3.3,14.0,0.75,0.118,9.8,6.0,10.9,1.8,0.47
0.605,0.995,3.46,31.0,0.53,0.096,11.8,10.0,7.2,1.9,0.02
0.31,0.9971,3.26,85.0,0.53,0.111,9.7,26.0,8.9,2.0,0.57
0.59,0.9994,3.18,62.0,0.63,0.09,10.2,26.0,10.0,2.2,0.31
0.36,0.99652,3.47,55.0,0.73,0.08,10.9,41.0,9.3,1.5,0.39
0.37,0.99729,3.16,65.0,0.59,0.079,9.8,28.0,9.8,2.5,0.39
0.43,1.0004,3.06,40.0,0.49,0.07,9.0,15.0,13.3,1.9,0.58
0.56,0.9976,3.22,22.0,0.44,0.082,9.6,10.0,8.4,2.0,0.04
0.635,0.99748,3.51,86.0,0.54,0.077,9.7,16.0,7.2,2.6,0.07
0.31,0.99444,3.31,43.0,0.77,0.078,12.5,17.0,8.3,2.4,0.39
0.73,0.99798,3.38,24.0,0.46,0.081,9.6,12.0,8.1,2.5,0.0
0.57,0.99782,3.27,144.0,0.55,0.082,9.4,23.0,9.5,2.3,0.27
0.42,0.99516,3.35,12.0,0.69,0.068,11.7,6.0,8.6,1.8,0.39
0.35,0.99549,3.23,24.0,0.7,0.11,12.0,12.0,8.9,3.6,0.4
0.61,0.99745,3.48,87.0,0.6,0.081,9.7,17.0,7.1,2.5,0.02
0.66,0.99378,3.71,11.0,0.63,0.087,12.8,3.0,5.6,2.2,0.0
0.5,0.99448,3.36,26.0,0.45,0.057,9.5,15.0,6.0,1.4,0.0
0.57,0.99564,3.38,36.0,0.6,0.081,10.3,16.0,7.2,2.3,0.05
0.56,0.99402,3.54,32.0,0.6,0.053,11.3,24.0,6.2,1.7,0.09
0.35,0.9982,3.21,61.0,0.5,0.083,9.5,11.0,9.9,2.3,0.41
0.46,0.9981,3.05,49.0,0.57,0.07,9.6,26.0,12.5,4.5,0.49
0.68,0.9965,3.17,20.0,1.08,0.072,9.2,9.0,7.6,1.3,0.02
0.43,0.99648,3.6,67.0,0.59,0.078,11.1,27.0,7.3,2.5,0.24
0.37,0.99817,3.27,8.0,0.58,0.08,11.0,3.0,8.6,6.4,0.65
0.34,0.99419,3.27,10.0,0.54,0.065,11.2,5.0,7.9,1.9,0.36
0.29,0.9915,3.39,11.0,0.54,0.063,13.5,3.0,5.8,1.7,0.26
0.6,0.9932,3.85,106.0,0.6,0.058,12.9,17.0,4.7,2.3,0.17
0.735,0.9994,3.47,124.0,0.53,0.122,9.9,68.0,6.6,7.9,0.02
0.66,0.99572,3.29,61.0,0.6,0.07,9.3,16.0,6.8,1.6,0.07
0.66,0.99976,3.28,59.0,0.54,0.097,9.6,9.0,9.1,3.2,0.15
0.615,1.0022,3.07,42.0,0.73,0.083,10.0,7.0,12.8,5.8,0.66
0.615,1.0022,3.07,42.0,0.73,0.083,10.0,7.0,12.8,5.8,0.66
0.37,0.99613,3.29,51.0,0.58,0.088,11.1,12.0,9.5,2.0,0.52
0.24,0.9967,3.32,25.0,0.87,0.056,8.7,11.0,7.9,1.6,0.4
0.475,0.99704,3.07,28.0,0.65,0.091,10.0333333333333,6.0,11.6,1.4,0.4
0.64,0.99358,3.47,46.0,0.45,0.069,11.0,26.0,6.1,2.4,0.02
0.43,0.99492,3.35,28.0,0.81,0.08,10.6,15.0,7.0,1.9,0.02
0.6,0.9966,3.52,28.0,0.62,0.083,10.2,13.0,7.0,2.2,0.12
0.52,0.99666,3.2,18.0,0.52,0.096,9.4,5.0,8.6,1.5,0.38
0.58,0.99387,3.38,40.0,0.66,0.069,12.6,19.0,6.6,2.4,0.02
0.645,0.9964,3.38,16.0,0.59,0.082,9.8,8.0,7.8,2.0,0.0
0.64,0.997,3.47,23.0,0.67,0.067,9.4,9.0,7.0,2.1,0.02
0.41,0.9973,3.08,69.0,1.31,0.467,9.3,18.0,7.8,1.7,0.68
0.645,0.99675,3.37,39.0,0.58,0.097,9.2,15.0,7.2,1.9,0.0
0.43,0.99615,3.34,37.0,0.56,0.089,9.2,14.0,7.0,1.6,0.36
0.69,1.0002,3.48,81.0,0.74,0.086,11.6,23.0,8.7,3.0,0.31
0.38,0.99685,3.42,70.0,0.59,0.073,9.5,31.0,7.2,1.8,0.3
0.56,0.9968,3.44,35.0,0.63,0.084,10.0,18.0,6.8,1.7,0.03
0.66,0.9976,3.29,13.0,0.55,0.077,10.4,5.0,9.0,3.0,0.17
0.5,0.99722,3.18,55.0,0.68,0.116,10.9,26.0,9.6,2.8,0.36
0.6,0.99613,3.3,105.0,0.49,0.08,9.9,25.0,8.0,2.1,0.22
0.55,0.9994,3.22,48.0,0.64,0.091,10.3,18.0,10.4,2.7,0.23
0.46,0.9988,3.21,17.0,0.73,0.064,11.0,5.0,9.5,6.3,0.49
0.34,0.9998,3.18,75.0,0.64,0.159,9.4,15.0,10.3,2.8,0.52
0.64,0.99736,3.28,98.0,0.5,0.168,9.5,52.0,7.4,5.4,0.17
0.24,0.9978,3.15,24.0,0.9,0.066,11.0,6.0,10.5,2.1,0.47
0.855,0.99627,3.54,23.0,0.6,0.062,11.0,15.0,6.6,2.4,0.02
0.57,0.9959,3.3,65.0,0.43,0.06,10.1,28.0,8.2,2.2,0.26
1.035,0.999,3.37,54.0,0.49,0.073,9.9,11.0,8.4,6.0,0.15
0.49,0.9968,3.16,26.0,0.78,0.072,12.5,10.0,10.2,2.9,0.63
0.645,1.00315,2.92,23.0,0.74,0.095,11.1,10.0,15.5,4.2,0.49
0.52,0.9984,3.43,38.0,0.65,0.081,9.0,14.0,7.8,1.9,0.25
0.35,1.0014,3.2,35.0,0.66,0.066,12.0,5.0,12.9,5.8,0.49
0.3,0.998,3.31,19.0,0.88,0.054,10.5,7.0,11.0,2.1,0.58
0.54,0.9973,3.61,36.0,0.64,0.076,9.8,15.0,6.7,2.0,0.13
0.43,0.99603,3.25,45.0,0.54,0.081,10.3,27.0,8.2,1.6,0.29
0.28,0.9976,2.98,21.0,0.66,0.074,9.9,10.0,12.0,1.9,0.49
0.28,0.9982,3.2,24.0,0.89,0.08,9.4,10.0,10.5,1.7,0.51
0.4,0.9967,3.37,53.0,0.7,0.092,10.3,29.0,7.5,3.0,0.12
0.6,0.99514,3.4,37.0,0.61,0.079,10.9,24.0,7.1,2.3,0.01
0.18,0.9996,3.28,23.0,0.97,0.104,10.1,4.0,11.5,4.0,0.51
0.31,0.99614,3.31,16.0,0.79,0.109,11.8,7.0,8.8,2.8,0.4
0.24,0.99786,3.47,73.0,0.9,0.061,10.2,52.0,9.4,2.3,0.33
0.6,0.99697,3.39,41.0,0.62,0.079,10.1,19.0,7.7,2.0,0.06
0.43,1.0,3.15,23.0,0.85,0.109,10.4,10.0,11.9,3.1,0.66
0.44,0.9944,3.48,11.0,0.85,0.042,11.7,3.0,5.9,1.6,0.0
0.4,0.9971,3.45,66.0,0.59,0.078,9.5,29.0,7.6,1.9,0.29
0.64,0.9962,3.31,55.0,0.63,0.072,11.0,27.0,7.8,1.9,0.0
0.43,0.9973,3.42,129.0,0.72,0.07,10.5,29.0,7.1,5.5,0.42
0.31,0.99562,3.4,39.0,0.69,0.056,11.8,10.0,8.9,2.6,0.36
0.43,0.99834,3.22,52.0,0.64,0.092,10.0,13.0,10.1,2.6,0.4
0.6,0.99336,3.38,45.0,0.54,0.071,11.0,14.0,6.1,1.8,0.08
0.4,0.9969,3.41,79.0,0.65,0.08,9.5,33.0,7.3,1.7,0.3
0.3,0.9959,3.44,61.0,0.78,0.069,10.3,18.0,6.3,1.8,0.48
0.63,0.99558,3.2,77.5,0.45,0.093,9.5,51.0,6.6,4.3,0.0
0.51,0.9955,3.17,73.0,0.63,0.11,10.2,33.0,7.6,2.8,0.15
0.56,0.9999,3.08,27.0,0.87,0.064,10.9,5.0,12.5,2.4,0.49
0.57,0.99677,3.29,79.0,0.69,0.079,9.5,10.0,7.9,2.0,0.31
0.45,0.9969,3.13,6.0,0.63,0.075,10.4,3.0,12.2,1.4,0.49
0.61,0.99483,3.55,28.0,0.66,0.066,10.9,18.0,5.8,1.8,0.11
0.5,0.99761,3.52,31.0,0.72,0.071,9.6,12.0,7.2,2.1,0.18
0.68,0.9977,3.5,39.0,0.7,0.078,9.9,12.0,7.4,1.8,0.16
0.52,0.99528,3.43,61.0,0.59,0.078,10.8,34.0,7.4,2.4,0.13
0.54,0.99235,3.2,17.0,0.72,0.076,13.1,8.0,7.9,2.5,0.34
0.46,0.99732,3.66,37.0,0.65,0.114,9.8,9.0,6.5,2.4,0.14
0.835,0.99608,3.39,11.0,0.52,0.166,10.0,4.0,7.2,2.0,0.0
0.715,0.99371,3.41,43.0,0.57,0.064,11.8,31.0,7.7,2.1,0.01
0.31,0.99965,3.36,33.0,0.8,0.085,10.5,14.0,10.0,2.6,0.47
0.61,0.99612,3.3,88.0,0.53,0.073,9.8,24.0,7.5,1.9,0.26
0.635,0.99638,3.29,60.0,0.75,0.073,10.9,25.0,8.2,2.1,0.1
0.36,0.99716,3.46,65.0,0.62,0.079,9.5,26.0,7.6,1.7,0.31
0.67,1.0,3.17,13.0,0.71,0.084,9.5,6.0,11.2,2.3,0.55
0.27,0.9993,3.2,46.0,0.8,0.079,10.2,28.0,12.3,3.1,0.49
0.57,0.99625,3.29,120.0,0.53,0.069,9.3,26.0,7.8,1.8,0.31
0.34,0.9916,3.68,63.0,0.79,0.05,14.0,27.0,5.2,1.8,0.0
0.67,0.9958,3.26,62.0,0.56,0.06,10.2,38.0,8.0,2.0,0.3
0.84,0.99554,3.12,10.0,0.48,0.05,9.1,4.0,8.9,1.4,0.34
0.51,0.9984,3.23,30.0,0.58,0.081,10.5,8.0,9.8,3.2,0.19
0.69,0.999,3.35,38.0,0.6,0.088,9.3,19.0,9.0,2.4,0.0
0.35,0.99676,3.26,47.0,0.82,0.058,10.6,31.0,9.9,1.5,0.38
0.51,0.99584,3.35,9.0,0.54,0.062,10.5,4.0,7.0,2.1,0.09
0.915,0.99577,3.53,39.0,0.54,0.07,11.1,15.0,6.8,4.8,0.29
0.46,0.9988,2.99,15.0,0.87,0.071,10.2,6.0,12.5,2.0,0.63
0.63,0.99675,3.37,38.0,0.58,0.097,9.0,14.0,7.2,1.9,0.0
0.38,0.9996,3.24,20.0,0.76,0.121,10.4,7.0,11.9,2.0,0.51
0.39,0.9978,3.14,125.0,1.22,0.107,9.5,34.0,9.3,2.1,0.44
0.32,0.99534,3.15,8.0,0.73,0.073,11.4,3.0,9.9,2.0,0.56
0.43,0.99708,3.28,22.0,0.55,0.085,9.5,9.0,9.3,1.9,0.44
0.545,0.9965,3.36,61.0,0.67,0.087,10.7,27.0,7.9,4.0,0.06
0.29,0.99545,3.28,27.0,0.73,0.084,11.9,19.0,10.8,1.6,0.42
0.33,0.99498,3.18,37.0,0.89,0.057,11.1,19.0,9.3,1.5,0.45
0.41,0.9968,3.06,45.0,1.26,0.611,9.4,8.0,7.7,1.8,0.76
0.53,0.99788,3.21,139.0,0.57,0.078,9.5,28.0,9.2,2.6,0.24
0.9,0.9967,3.39,10.0,0.56,0.079,9.8,5.0,7.6,2.5,0.06
0.59,0.9988,3.18,49.0,0.65,0.087,11.0,13.0,11.5,2.6,0.59
0.51,0.99396,3.48,34.0,0.57,0.056,11.5,15.0,6.2,1.9,0.14
0.46,0.9948,3.39,34.0,0.6,0.077,10.6,18.0,6.7,1.7,0.24
0.54,0.9976,3.27,112.0,0.61,0.076,9.4,16.0,8.3,3.4,0.24
0.43,0.99718,3.4,66.0,0.64,0.075,9.5,19.0,7.6,2.1,0.29
0.38,0.99605,3.36,12.0,0.55,0.106,11.4,5.0,7.5,2.3,0.57
0.58,0.99374,3.35,53.0,0.76,0.062,11.6,37.0,6.6,2.0,0.02
0.28,0.99356,3.33,10.0,0.7,0.052,12.8,4.0,8.2,2.4,0.4
0.52,0.99575,3.34,35.0,0.57,0.07,10.0,10.0,8.0,1.7,0.03
0.36,0.9928,3.36,8.0,0.55,0.067,12.8,4.0,6.8,1.8,0.32
0.78,0.9988,3.26,32.0,0.56,0.077,10.6,6.0,9.5,1.9,0.22
0.44,0.99638,3.18,41.0,0.69,0.091,11.9,10.0,9.9,2.2,0.46
0.62,0.99746,3.51,84.0,0.53,0.078,9.7,17.0,7.2,2.5,0.06
0.65,0.9972,3.47,25.0,0.67,0.066,9.5,8.0,7.0,2.1,0.02
0.48,0.99684,3.37,18.0,0.68,0.089,11.2,10.0,7.2,5.5,0.07
0.785,0.99713,3.16,98.0,0.52,0.094,9.56666666666667,19.0,7.4,5.2,0.19
0.54,0.9987,3.69,27.0,0.91,0.077,9.4,7.0,6.9,3.0,0.04
0.49,0.9979,3.03,62.0,1.17,0.422,9.0,16.0,8.6,2.0,0.51
0.49,0.9967,3.29,34.0,0.48,0.069,9.2,13.0,7.2,2.7,0.18
0.52,0.9976,3.34,49.0,0.86,0.091,10.6,20.0,8.7,2.5,0.09
0.59,0.9981,3.37,121.0,0.49,0.07,9.4,35.0,7.3,7.2,0.26
0.63,0.99522,3.34,39.0,0.53,0.076,10.8,14.0,6.9,2.4,0.01
0.54,0.9942,3.72,13.0,0.58,0.049,11.4,5.0,5.6,1.7,0.04
0.63,0.99616,3.26,91.0,0.58,0.083,9.8,17.0,7.5,2.0,0.27
0.36,0.9986,3.04,18.0,1.06,0.152,9.4,7.0,10.6,2.2,0.6
0.68,0.9988,3.14,28.0,0.6,0.087,10.2,5.0,9.6,2.2,0.24
0.63,0.9969,3.28,126.0,0.61,0.099,9.5,16.0,6.8,3.8,0.12
0.38,0.9962,3.39,85.0,0.77,0.097,11.4,33.0,7.0,2.5,0.49
0.74,0.99508,3.45,16.0,0.63,0.054,11.5,7.0,6.9,2.3,0.03
0.48,0.99586,3.21,10.0,0.59,0.101,12.1,3.0,8.9,4.0,0.53
0.725,0.99655,3.35,17.0,0.49,0.117,10.8,9.0,6.6,5.5,0.09
0.5,0.99448,3.36,26.0,0.45,0.057,9.5,15.0,6.0,1.4,0.0
0.52,0.9996,2.74,69.0,2.0,0.61,9.4,32.0,9.2,3.4,1.0
0.22,0.999,3.41,28.0,0.87,0.078,10.3,1.0,9.1,2.1,0.24
0.705,0.9976,3.39,26.0,0.49,0.084,9.7,9.0,7.7,2.6,0.1
0.32,0.9996,3.05,47.0,0.61,0.093,10.6,15.0,13.0,2.6,0.65
0.7,0.9978,3.51,34.0,0.56,0.076,9.4,11.0,7.4,1.9,0.0
0.49,0.9957,3.39,44.0,0.54,0.076,9.7,10.0,7.5,1.9,0.19
0.65,0.99803,3.29,40.0,0.55,0.089,9.5,17.0,8.3,2.9,0.1
0.41,0.99786,3.24,23.0,0.56,0.091,10.5,10.0,9.6,2.3,0.37
0.67,0.9954,3.42,20.0,0.67,0.118,11.3,13.0,6.8,1.8,0.15
0.46,0.9968,3.21,49.0,0.57,0.079,10.0,12.0,7.6,2.6,0.11
0.61,0.99376,3.56,24.0,0.77,0.071,11.1,16.0,5.9,2.1,0.08
0.37,0.9963,3.28,49.0,0.67,0.077,9.3,23.0,7.9,1.8,0.23
0.37,0.9995,3.15,68.0,0.82,0.083,10.4,25.0,12.5,2.6,0.55
0.8,0.9979,3.4,31.0,0.48,0.084,9.9,12.0,8.6,2.3,0.11
0.655,0.99738,3.25,35.0,0.42,0.096,9.6,5.0,9.3,2.0,0.26
0.26,0.9972,3.13,49.0,0.54,0.06,9.6,20.0,10.8,3.3,0.45
0.47,0.99517,3.4,14.0,0.58,0.067,10.9,7.0,7.1,2.2,0.0
0.25,0.9959,3.18,42.0,0.83,0.062,10.6,26.0,9.9,1.7,0.46
0.64,0.99538,3.57,26.0,0.63,0.081,12.0,15.0,6.2,2.5,0.09
0.52,0.99612,3.3,59.0,0.48,0.078,10.2,19.0,8.0,2.0,0.25
0.55,0.99655,3.49,34.0,0.68,0.082,10.5,15.0,7.4,1.8,0.19
0.45,0.998,3.55,72.0,0.6,0.082,9.5,16.0,7.0,2.7,0.34
0.35,1.0003,3.32,37.0,0.91,0.07,11.0,10.0,11.5,3.3,0.49
0.42,0.99628,3.24,25.0,0.44,0.067,10.4,7.0,7.5,2.7,0.32
0.64,0.9956,3.34,101.0,0.52,0.085,10.2,18.0,6.8,2.1,0.1
0.955,0.99616,3.3,19.0,0.44,0.075,9.6,5.0,8.8,1.8,0.05
0.41,1.00024,3.13,101.0,0.53,0.096,10.0,25.0,11.6,2.8,0.58
0.26,0.9974,3.26,23.0,0.7,0.076,9.6,8.0,8.3,1.4,0.37
0.43,0.99798,3.21,70.0,0.69,0.092,10.5,24.0,10.5,3.3,0.35
0.39,0.9955,3.34,23.0,0.56,0.08,9.3,11.0,6.3,1.4,0.16
0.585,0.9967,3.2,30.0,0.48,0.078,9.8,5.0,8.5,2.1,0.18
0.63,0.99734,3.26,69.0,0.63,0.096,10.2,17.0,8.7,2.7,0.28
0.41,0.99702,3.21,14.0,0.49,0.071,11.8,6.0,10.0,6.2,0.45
0.29,0.99721,3.33,160.0,0.54,0.067,10.3,72.0,5.9,13.4,0.25
0.715,0.9966,3.12,20.0,0.59,0.07,9.9,5.0,9.3,2.1,0.24
0.43,0.9974,3.13,67.0,1.28,0.464,9.4,22.0,7.8,1.9,0.7
0.56,0.99522,3.53,46.0,0.57,0.086,10.6,36.0,6.9,1.5,0.03
0.34,0.99694,3.45,68.0,0.48,0.082,9.4,31.0,7.1,2.0,0.28
0.22,0.99672,3.61,20.0,0.82,0.065,10.0,16.0,7.0,1.8,0.3
0.37,0.99526,3.24,42.0,0.81,0.038,10.8,21.0,9.3,1.6,0.44
0.43,0.9976,3.34,48.0,0.46,0.075,9.4,10.0,8.0,2.3,0.36
0.635,0.99745,3.31,55.0,0.57,0.089,10.4,15.0,8.4,2.0,0.36
0.745,0.99588,3.22,64.0,0.59,0.114,9.5,15.0,7.0,1.8,0.12
0.34,0.998,3.22,13.0,0.62,0.075,9.2,5.0,9.4,2.2,0.37
0.35,0.9972,3.15,16.0,0.65,0.07,11.0,5.0,10.7,2.6,0.53
0.43,0.998,3.19,45.0,0.73,0.092,10.0,14.0,9.4,2.8,0.24
0.69,0.99712,3.44,27.0,0.67,0.068,9.8,19.0,7.1,2.1,0.04
0.64,0.9984,3.37,11.0,0.69,0.115,10.1,5.0,7.8,6.0,0.1
0.38,0.997,3.2,119.0,0.56,0.081,9.4,30.0,8.6,3.0,0.36
0.4,0.9965,3.34,58.0,0.58,0.079,9.4,24.0,7.5,1.6,0.18
0.79,0.9955,3.12,68.0,0.44,0.087,9.2,21.0,7.6,2.3,0.21
0.565,0.9998,3.38,112.0,0.61,0.093,9.5,16.0,8.9,3.0,0.34
0.31,0.99459,3.42,28.0,0.7,0.066,10.0,15.0,6.4,1.4,0.09
0.81,0.99668,3.19,85.0,0.42,0.076,9.2,34.0,8.0,3.4,0.25
0.4,0.99416,3.28,29.0,0.49,0.061,11.3,9.0,7.0,3.6,0.32
0.4,0.99754,3.38,54.0,0.86,0.068,10.5,41.0,10.2,2.5,0.4
0.49,1.0004,3.29,43.0,0.58,0.094,9.0,9.0,9.9,3.5,0.58
0.44,0.9978,3.23,121.0,0.58,0.078,9.2,26.0,9.0,2.4,0.49
0.37,0.998,3.34,58.0,0.7,0.09,9.6,18.0,8.5,2.8,0.2
0.64,0.99689,3.59,31.0,0.66,0.081,9.8,14.0,6.4,1.8,0.21
