Col1,Col7
0.65,9.5
0.41,10.5
0.67,11.3
0.46,10.0
0.61,11.1
0.37,9.3
0.37,10.4
0.8,9.9
0.655,9.6
0.26,9.6
0.47,10.9
0.25,10.6
0.64,12.0
0.52,10.2
0.55,10.5
0.45,9.5
0.35,11.0
0.42,10.4
0.64,10.2
0.955,9.6
0.41,10.0
0.26,9.6
0.43,10.5
0.39,9.3
0.585,9.8
0.63,10.2
0.41,11.8
0.29,10.3
0.715,9.9
0.43,9.4
0.56,10.6
0.34,9.4
0.22,10.0
0.37,10.8
0.43,9.4
0.635,10.4
0.745,9.5
0.34,9.2
0.35,11.0
0.43,10.0
0.69,9.8
0.64,10.1
0.38,9.4
0.4,9.4
0.79,9.2
0.565,9.5
0.31,10.0
0.81,9.2
0.4,11.3
0.4,10.5
0.49,9.0
0.44,9.2
0.37,9.6
0.64,9.8
0.365,11.0
0.48,12.4
0.67,9.4
0.46,10.4
0.36,11.0
0.56,9.3
0.69,9.5
0.36,11.0
0.36,9.5
0.82,9.8
0.48,12.2
0.365,11.0
0.48,9.4
0.52,9.6
0.6,9.5
0.715,11.8
0.62,11.8
0.27,10.6
0.6,9.2
0.49,9.8
0.935,11.3
0.615,9.9
0.59,9.5
0.4,10.6
0.5,10.8
0.57,9.6
0.545,10.7
0.42,11.8
0.69,9.7
0.49,10.5
0.63,10.4
0.46,9.2
0.35,9.4
0.61,10.2
0.54,10.9
0.52,9.6
0.965,9.5
1.115,11.2
0.64,10.9
0.43,11.4
0.53,9.4
0.39,9.4
0.6,9.9
0.66,9.7
0.81,10.8
0.56,9.6
0.38,13.2
0.51,10.5
0.43,10.4
0.61,9.8
0.38,10.5
0.36,12.7
0.53,9.8
0.3,11.7
0.52,9.5
0.49,9.0
0.74,12.5
0.48,10.0
0.41,10.1
0.4,9.5
0.18,12.7
0.67,9.5
0.35,11.1
0.64,9.6
0.5,8.8
0.78,10.0
0.545,9.0
0.61,10.2
0.67,10.1
0.33,11.2
0.41,10.8
0.5,9.5
0.4,10.5
0.6,10.2
0.34,10.1
0.57,11.3
0.29,11.4
0.32,9.2
0.64,11.3
0.4,13.6
0.53,9.8
0.31,10.6
0.56,10.1
0.72,9.6
0.64,9.9
0.53,9.4
0.61,9.3
0.665,9.3
0.625,13.3
0.395,12.2
0.49,9.4
0.44,12.0
0.6,9.8
0.685,9.4
0.655,9.5
0.44,11.3
0.59,9.4
0.46,10.6
0.835,9.6
0.52,9.8
0.74,11.5
0.96,10.9
0.66,9.6
0.58,9.0
0.32,9.2
0.33,11.5
0.67,9.7
0.38,10.9
0.6,9.1
1.185,10.7
0.69,9.9
0.42,9.6
0.63,10.4
0.42,9.0
0.705,10.0
0.31,10.7
0.715,9.5
0.53,10.3
0.65,9.1
0.49,12.0
0.51,9.5
0.66,9.7
0.59,10.7
0.6,9.8
0.34,10.1
0.41,12.2
0.32,10.8
0.57,9.5
0.36,14.9
0.295,10.9
0.83,10.4
0.7,11.9
0.645,10.2
0.38,9.9
0.56,9.5
0.34,12.0
0.48,10.0
0.42,13.6
0.38,11.8
0.42,9.2
0.8,12.2
0.37,10.5
0.5,9.5
0.5,9.6
0.415,10.0
0.26,10.8
0.52,12.1
0.28,10.5
0.73,9.3
0.715,9.4
0.62,10.8
0.56,10.55
0.5,9.4
0.6,10.5
0.66,9.4
0.67,10.0
0.27,12.5
0.45,9.7
0.49,9.6
0.58,11.2
0.37,9.3
0.63,9.8
0.735,9.3
0.64,9.8
0.19,9.5
0.69,9.2
0.48,11.7
0.49,14.0
0.38,12.6
0.37,11.3
1.13,9.8
0.34,11.6
0.3,11.9
0.3,11.8
0.43,9.5
0.61,9.8
0.83,9.6
0.86,10.0
0.56,9.5
1.02,11.2
0.39,9.5
0.765,9.4
0.25,11.9
0.39,10.2
0.6,9.4
0.38,9.8
0.5,9.2
0.58,11.6
0.43,10.5
0.45,9.7
0.56,9.9
0.37,11.2
0.57,10.8
0.51,9.5
0.3,11.7
0.42,14.0
0.31,9.2
0.835,13.0
0.53,10.3
0.685,11.2
0.3,11.7
0.35,12.0
0.7,10.2
0.635,10.3
0.42,11.7
0.67,11.4
0.6,9.8
0.36,9.4
0.57,11.2
0.21,11.7
0.5,9.5
0.98,11.2
0.39,12.1
0.48,11.2
0.49,9.2
0.34,9.4
0.75,10.1
0.52,9.5
1.09,11.4
0.5,10.5
0.22,9.4
0.27,12.5
0.735,9.8
0.54,9.2
0.53,10.7
0.785,10.0
0.75,10.5
0.47,13.6
0.43,10.0
0.4,13.4
0.66,9.9
0.31,12.5
0.715,9.5
0.785,9.4
0.785,9.6
0.48,11.2
0.27,9.9
0.63,9.3
0.3,10.1
0.63,9.4
0.645,9.6
0.43,9.6
0.5,9.1
0.66,9.0
0.75,12.8
0.84,9.23333333333333
0.715,11.0
0.84,11.0
0.59,9.6
0.69,9.1
0.33,10.7
0.62,9.3
0.74,9.8
0.46,9.8
0.42,12.1
0.88,11.2
0.53,11.6
0.45,10.3
0.44,11.4
0.48,12.1
0.64,9.6
0.31,12.6
0.39,13.3
0.29,10.3
0.685,9.3
0.98,9.4
0.695,10.1
0.66,9.9
0.745,9.6
0.36,10.5
0.4,10.5
0.36,13.6
0.24,9.5
0.58,9.8
0.87,9.2
0.6,9.5
0.52,9.4
0.48,11.2
0.57,10.2
0.28,12.4
0.74,11.0
0.38,11.3
0.69,11.3
0.38,9.5
0.665,9.3
0.38,9.7
0.61,10.5
0.27,12.0
0.57,9.8
0.69,9.3
0.34,9.2
0.37,12.8
0.56,10.5
0.31,9.8
0.61,10.4
0.44,11.5
0.62,9.3
0.58,10.2
0.26,9.6
0.4,10.0
0.65,9.7
0.4,11.2
0.475,10.0333333333333
0.67,11.0666666666667
0.56,10.0
0.62,9.8
0.45,10.9
0.42,9.2
0.59,9.5
0.38,12.9
0.68,11.3
0.54,11.8
0.33,12.0
0.5,10.7
0.28,12.8
0.745,9.7
0.815,9.8
0.805,9.6
0.46,10.7
0.34,11.4
0.51,10.5
0.54,9.4
0.645,10.0
0.59,9.5
0.54,10.4
0.41,9.5
0.55,10.9
0.32,9.6
0.2,10.4
0.36,12.8
0.24,10.9
0.45,9.3
0.28,10.6
0.725,9.3
0.42,11.3
0.32,9.6
0.69,10.2
0.41,9.9
0.6,11.4
0.78,9.5
0.18,11.1
0.895,10.8
0.52,9.3
0.65,10.4
1.025,10.1
0.33,12.8
0.36,12.5
0.24,11.3
0.61,9.3
0.68,10.3
0.61,10.0
0.645,11.1
0.28,10.9
0.38,10.3
0.18,11.3
0.42,9.1
0.63,9.8
0.57,10.7
0.91,10.7
0.58,9.6
0.28,11.3
0.2,10.5
0.51,9.2
0.46,9.4
0.45,10.5
0.39,11.2
0.705,9.5
0.58,9.2
0.78,9.2
0.21,9.2
0.7,9.0
0.49,9.5
0.58,9.5
0.66,9.2
0.53,10.2
0.755,10.2
0.62,11.8
0.67,11.1
0.43,11.9
0.12,11.9
0.63,9.0
0.36,11.0
0.795,11.6
0.5,9.7
0.46,9.5
0.715,9.4
0.39,9.4
0.46,9.2
0.56,9.5
0.26,10.9
0.45,10.8
0.31,11.4
0.56,9.9
0.5,10.9
0.36,10.9
0.53,9.4
0.72,10.0
0.49,9.0
0.43,9.4
0.35,9.5
0.71,9.5
0.42,10.9
0.755,9.5
0.18,11.8
0.54,9.4
0.49,10.9
0.69,10.2
0.5,10.7
0.65,10.0
0.4,9.4
0.655,9.8
0.51,11.8
0.18,12.7
0.32,11.8
0.31,11.0
0.32,10.1
0.55,9.5
0.56,9.3
0.715,9.5
0.96,10.9
0.98,9.7
0.52,9.5
0.62,9.4
0.28,11.7
0.64,11.0
0.815,12.3
0.82,9.4
0.78,10.0
1.07,9.0
0.57,12.7
0.41,11.1
0.25,10.2
0.46,9.8
0.6,9.7
0.3,12.1
0.52,9.3
0.935,9.2
0.35,10.4
0.54,9.7
0.58,9.8
0.31,9.8
0.43,9.5
0.53,12.1
0.4,9.4
0.34,9.2
0.31,11.2
0.5,8.8
0.45,9.2
0.28,11.7
0.5,10.7
0.28,10.2
0.47,12.3
0.18,11.8
0.775,9.6
0.39,11.4
0.67,11.1
0.62,9.5
0.26,9.3
1.02,10.5
0.45,9.5
0.47,11.2
0.68,9.5
0.61,9.8
0.53,10.0
0.69,9.5
0.41,10.5
0.32,12.3
0.35,10.5
0.67,10.0
0.88,11.2
0.55,9.2
0.52,9.9
0.59,9.7
0.57,10.1
0.29,10.5
0.67,9.4
0.26,10.9
0.35,11.0
0.975,9.4
0.88,9.9
0.34,9.4
0.63,10.1
0.54,11.4
0.16,11.2
0.69,11.3
0.31,9.7
0.56,10.1
1.33,10.9
0.575,9.2
0.88,9.4
0.3,11.8
0.57,9.5
0.46,14.0
0.59,9.4
0.845,11.0
0.36,11.3
0.735,9.8
0.24,11.0
0.43,11.3
0.21,10.4
0.43,9.5
0.39,11.5
0.34,12.1
0.49,12.0
0.57,10.8
0.3,10.8
0.685,10.6
0.38,8.5
0.34,11.4
0.49,9.2
0.655,9.7
0.59,10.0
0.29,11.8
0.88,9.8
0.52,11.0
0.73,11.0
0.745,9.4
1.005,10.0
0.4,9.3
0.76,11.5
0.68,10.0
0.58,9.4
0.55,9.6
0.305,11.5
0.38,11.6
0.26,10.2
0.46,9.0
0.5,9.5
0.55,9.4
0.685,10.9
0.45,11.0
0.36,10.1
0.675,9.2
0.58,11.7
0.56,11.2
0.69,11.6
0.67,9.6
0.33,9.6
0.39,10.8
0.66,11.5
1.02,11.0
0.58,10.5
0.49,12.5
0.71,9.4
0.39,9.0
0.56,9.5
0.22,11.0
0.24,10.9
0.44,9.9
0.39,11.4
0.26,9.4
0.57,10.3
0.43,10.5
0.41,11.3
0.38,9.5
1.04,11.0
0.6,11.4
0.59,9.3
0.41,10.1
0.41,12.6
0.63,9.5
0.67,9.5
0.32,10.6
0.715,11.4
0.48,9.05
0.46,9.2
0.63,9.7
0.58,10.0
0.35,9.5
0.72,11.1
0.43,9.9
0.51,9.6
0.47,11.1
0.6,9.8
0.67,11.8
0.65,9.4
0.85,12.9
0.695,10.1
0.4,10.4
0.42,9.2
0.3,10.8
0.56,9.4
0.44,10.2
0.44,9.4
0.32,11.5
0.27,11.0
0.77,10.4
0.49,9.6
0.31,8.4
0.45,10.2
0.34,10.7
0.745,9.6
0.34,12.0
0.84,9.25
0.32,12.6
0.31,10.9
0.51,12.9
0.55,11.6
0.58,11.4
0.53,9.3
0.84,12.3
0.54,9.3
0.68,9.5
0.58,10.0
0.735,9.4
0.46,11.4
0.37,11.8
0.54,9.0
1.04,9.9
0.36,10.9
0.59,9.8
0.48,10.5
0.62,9.5
0.66,10.1
0.47,9.8
0.58,10.5
0.52,13.1
0.61,8.4
0.41,11.0
0.41,9.9
0.65,9.2
0.5,11.1
0.28,12.3
0.57,10.4
0.66,9.2
0.87,9.8
0.39,11.5
0.48,9.6
0.56,11.0
0.27,12.8
0.58,10.3
0.58,9.4
0.855,11.0
0.44,9.3
0.37,11.3
0.43,9.5
0.705,10.2
0.42,14.0
0.64,11.3
0.63,9.6
0.32,10.0
0.53,11.5
0.36,11.0
0.58,11.3
0.59,9.5
0.38,11.0
0.43,9.5
0.6,10.8
0.695,12.2
0.26,10.9
0.915,11.4
0.41,10.4
0.37,9.8
0.45,10.4
0.43,9.6
0.53,9.5
0.775,9.5
0.61,11.1
0.63,9.8
0.6,10.9
0.64,10.6
0.37,13.0
0.38,14.0
0.95,9.6
0.5,10.4
0.58,12.5
0.39,10.8
0.6,10.5
0.64,9.8
0.3,10.8
0.43,10.5
0.62,9.0
0.28,10.6
0.725,10.0
0.62,9.8
0.58,9.5
0.68,9.5
0.49,9.8
0.58,10.2
0.57,9.2
0.59,10.8
0.53,9.2
0.31,10.5
0.43,10.4
0.38,10.0
0.32,10.4
0.305,11.5
0.66,11.0
0.56,9.3
0.52,11.4
0.39,10.9
0.38,11.9
0.585,12.9
0.45,9.9
0.29,11.7
0.9,10.9
0.28,11.2
0.7,10.0
0.96,11.9
0.59,9.9
0.625,9.1
0.39,9.2
0.52,9.1
0.5,13.0
0.63,9.8
0.53,12.4
0.43,10.5
0.77,9.2
0.755,9.7
0.36,11.9
0.37,10.1
0.39,9.5
0.725,10.9
0.49,10.2
0.53,10.8
0.41,9.1
0.63,9.5
0.4,12.2
0.56,9.2
0.58,9.7
0.36,11.0
0.34,10.1
0.38,11.1
0.12,11.9
0.645,10.3
0.61,9.3
0.815,10.8
0.38,9.6
0.54,10.55
0.635,10.9
0.66,12.8
0.54,9.2
0.49,12.0
0.32,10.6
0.22,10.3
0.54,11.5
0.25,10.9
0.59,11.4
0.6,10.8
0.39,10.9
0.91,10.9
0.4,9.5
0.31,12.0
0.58,11.0
0.5,9.5
0.44,11.6
0.735,11.7
0.39,9.7
0.43,9.5
0.83,9.9
0.24,11.0
0.75,12.8
0.64,10.4
0.19,11.2
0.35,12.8
0.76,9.1
0.41,10.5
0.38,11.4
0.58,11.5
0.33,10.7
0.41,10.8
0.73,9.3
1.24,9.5
0.42,12.3
0.785,10.7
0.47,13.5666666666667
0.76,9.8
0.38,9.4
0.545,11.6
0.37,11.2
0.61,9.4
0.51,10.5
0.59,9.1
0.78,9.2
0.26,9.4
0.68,9.3
0.35,11.9
0.31,11.2
0.4,10.2
0.42,10.8
0.63,9.4
0.575,9.2
0.58,9.1
0.51,11.8
0.655,9.3
0.635,9.3
0.46,9.8
0.32,11.5
0.59,9.2
0.34,9.0
0.6,12.2
0.5,10.0
0.4,10.5
0.51,11.0
0.69,12.9
0.5,9.5
0.66,9.5
0.63,9.5
0.47,11.1
0.44,10.8
0.5,10.0
0.5,9.4
0.42,9.2
0.39,9.9
0.78,11.3
0.835,9.3
0.43,10.3
0.27,11.2
0.36,10.1
0.78,9.6
0.52,9.6
0.57,12.5
0.48,10.3
0.54,9.3
0.59,10.0
0.43,11.5
0.6,9.9
0.8,10.4
0.4,9.2
0.32,9.6
0.55,9.2
0.49,9.9
0.6,9.9
0.45,10.5
0.89,10.2
0.36,9.2
0.39,11.6
0.855,10.75
0.5,11.1
0.6,9.8
0.72,9.5
0.56,9.6
0.52,12.9
0.69,10.2
0.4,9.2
0.72,9.8
0.33,12.4
0.6,9.1
0.29,10.1
0.44,10.4
0.33,10.3
0.49,11.3
1.58,10.9
0.41,9.4
0.57,9.5
0.51,11.0
0.735,10.1
0.38,9.5
0.57,9.4
0.52,11.4
0.54,10.2
0.59,11.5
0.57,12.8
0.29,9.5
0.34,10.0
0.64,9.6
0.25,12.4
0.44,11.0
0.725,10.9
0.46,10.6
0.58,11.2
0.26,11.8
0.33,11.0
0.38,11.4
0.885,10.8
0.65,9.5
0.38,10.5
0.36,11.7
0.63,9.0
0.715,9.5
0.49,9.9
0.48,10.0
0.7,9.4
0.27,11.3
0.33,12.4
0.47,12.7
0.4,9.3
0.36,10.1
0.83,9.8
0.23,11.1
0.32,10.3
0.21,11.1
0.6,9.7
0.47,10.8
0.885,10.8
0.32,10.7
0.62,10.1
0.34,14.0
0.59,9.8
0.38,9.4
1.01,11.5
0.62,9.2
0.52,10.5
0.57,9.8
0.41,10.2
0.44,11.7
0.58,9.5
0.62,9.3
0.58,9.7
0.71,10.0
0.61,11.5
0.39,10.8
0.52,10.6
0.55,11.2
0.36,11.0
0.42,12.0
0.74,9.4
0.665,9.1
0.59,9.3
0.42,10.0
0.41,13.3
0.47,9.5
0.615,9.2
0.31,12.5
0.24,10.8
0.77,10.4
0.54,9.4
0.45,11.2
0.62,11.5
1.18,10.5
0.74,10.0
0.4,12.5
0.27,9.7
0.27,9.7
0.28,9.5
0.5,11.2
0.79,10.4
0.68,10.2
0.965,9.5
0.34,11.1
0.615,9.3
0.915,10.2
0.69,10.1
0.31,10.0
0.4,11.7
0.33,9.4
0.47,10.6
0.43,9.5
0.875,11.5
1.0,9.0
0.59,11.0
0.6,9.9
0.61,9.5
0.22,12.4
0.28,9.8
0.725,9.6
0.55,9.7
0.59,10.7
0.605,12.9
0.87,9.8
0.785,10.0
0.6,13.0
1.04,11.5
0.73,9.5
0.44,13.4
0.51,10.5
0.965,10.2
0.34,12.1
0.27,12.0
0.29,12.4
0.5,9.8
0.34,11.3
0.78,10.7
0.35,11.0
0.63,9.5
0.645,10.0
0.28,9.2
0.49,10.5
0.52,11.8
0.6,9.5
0.64,9.1
0.59,9.8
0.58,10.5
0.74,11.6
0.35,11.0
0.75,12.8
0.315,9.2
0.645,11.1
0.55,10.0
0.55,10.1
0.64,9.1
0.91,9.2
0.46,9.5
0.65,10.4
0.695,10.1
0.6,9.3
0.6,11.9
0.36,11.7
0.24,10.8
0.56,11.7
0.6,10.1
0.55,11.0
0.46,10.4
0.48,10.3
0.42,8.7
0.53,9.6
0.51,10.7
0.53,13.0
0.39,9.8
0.24,10.4
0.29,9.7
0.46,10.7
0.77,9.9
0.56,11.8
0.65,9.5
0.76,11.5
0.28,10.6
0.695,10.1
0.39,9.4
0.785,9.3
0.41,9.4
0.63,9.8
0.43,10.5
0.56,9.5
0.5,10.5
0.5,10.7
0.615,9.7
0.54,9.0
0.41,9.5
0.29,11.7
0.43,9.5
0.575,9.0
0.36,9.7
0.34,9.2
0.58,9.5
0.46,10.0
0.23,9.3
0.37,10.6
0.415,9.2
0.865,12.7
0.39,10.3
0.77,9.2
0.46,11.2
0.74,12.5
0.6,9.4
0.32,11.0
0.21,9.2
0.18,10.1
0.56,10.2
0.31,10.9
0.56,11.2
0.28,12.4
0.53,9.3
0.26,9.4
0.49,9.2
0.36,11.1
0.56,11.3
0.53,9.8
0.915,10.0
0.44,9.4
0.36,12.5
0.61,9.7
0.37,11.0
0.48,9.2
0.5,11.5
0.67,9.5
0.66,12.7
0.31,10.1
0.29,10.5
0.4,9.7
0.6,9.3
0.59,10.8
0.36,11.0
0.36,12.4
0.66,12.9
0.52,12.5
0.33,12.1
0.69,10.1
0.685,9.55
0.52,11.0
0.5,10.4
0.47,12.8
0.3,12.3
0.47,9.9
0.49,10.5
0.765,9.9
0.33,11.2
0.33,10.4
0.41,9.1
0.36,11.4
0.68,11.1
0.59,10.3
0.4,10.1
0.23,12.3
0.55,9.7
0.28,10.6
0.58,10.0
1.0,9.0
0.33,12.0
0.66,9.5
0.29,10.1
0.38,9.4
0.65,10.4
0.6,10.1
0.4,12.2
0.62,9.2
0.47,10.5
0.42,11.1
0.33,12.7
0.49,11.5
0.66,11.5
0.44,9.5
0.49,12.2
0.4,10.5
0.635,10.8
0.48,10.4
0.39,9.8
0.36,12.0
0.67,9.5
0.18,10.1
0.42,9.2
0.64,9.9
0.53,10.0
0.46,9.0
0.67,9.4
0.85,10.1
0.66,12.8
0.54,11.4
0.645,12.5
0.26,10.9
0.16,12.4
0.12,11.9
0.32,11.6
0.49,9.5
0.42,9.7
0.46,9.6
0.52,9.4
0.28,9.8
0.395,12.4
0.7,10.9
0.49,9.4
0.61,9.1
0.54,11.4
1.33,10.9
0.45,10.8
0.33,10.0
0.26,11.3
0.55,10.5
0.47,9.6
0.58,9.2
0.605,9.4
0.87,9.8
0.66,10.3
0.43,12.5
0.31,9.8
0.34,11.0
0.84,9.7
0.695,9.2
0.545,9.0
0.74,11.8
0.26,11.8
0.64,10.3
0.18,10.1
0.69,9.9
0.59,9.7
0.5,9.6
0.52,11.6
0.59,9.7
0.25,12.5
0.78,11.3
0.51,9.5
0.7,9.0
0.6,10.0
0.635,9.3
0.61,10.0
0.625,11.0
0.33,9.3
0.69,9.7
0.785,10.0
0.62,11.8
0.765,10.3
0.39,9.4
0.44,10.2
0.5,11.5
0.21,11.9
0.53,11.7
0.595,9.3
0.82,9.8
0.41,11.2
0.63,9.3
0.47,9.1
0.875,10.2
0.39,11.4
0.62,9.5
0.65,9.5
0.4,12.0
0.44,12.0
0.54,9.8
0.6,9.9
0.5,9.8
0.55,9.4
0.42,11.3
0.885,9.4
0.59,9.0
0.685,9.4
0.5,10.9
0.61,9.3
0.28,11.8
0.56,9.4
0.43,11.9
0.37,9.1
0.48,9.1
0.59,9.7
0.46,12.2
1.0,10.0
0.38,10.8
0.52,9.0
0.73,9.5
0.69,11.3
0.41,10.5
0.735,9.9
0.41,9.5
0.775,10.7
0.67,9.9
0.58,9.3
0.59,10.8
0.635,10.8
0.6,10.2
0.5,10.5
0.54,10.5
0.55,9.7
0.705,10.7
0.655,9.6
0.63,9.6
0.415,10.0
0.42,11.0
0.7,12.6
0.4,12.5
0.46,10.2
0.37,9.5
0.59,10.3
0.54,9.7
0.65,9.5
0.5,10.5
0.84,12.3
0.715,11.9
0.59,10.5
0.705,10.5
0.39,9.8
0.825,10.7
0.62,9.4
0.64,10.0
0.5,12.3
0.4,11.3
0.67,10.9
0.6,9.9
0.64,9.7
0.45,9.9
0.82,9.6
0.4,10.5
0.66,10.3
0.36,9.4
0.76,9.95
0.64,10.9
0.37,9.3
0.3,12.3
0.65,11.7
0.69,9.4
0.45,9.8
0.49,10.5
0.24,9.2
0.27,11.8
0.42,12.3
0.675,9.55
0.42,10.4
0.34,12.4
0.51,12.1
0.74,9.8
0.48,9.7
0.6,10.4
0.44,11.1
0.39,12.2
0.47,9.4
0.54,9.4
0.7,9.4
0.48,10.5
0.5,13.0
0.6,9.9
0.51,11.2
0.2,11.9
0.36,11.9
0.5,10.5
0.55,9.0
0.585,9.8
0.53,11.0
0.51,9.5
0.53,10.3
0.38,10.3
0.23,12.1
0.9,9.3
