Col1,Col5,Col7,Col11
0.51,0.58,10.5,0.19
0.69,0.6,9.3,0.0
0.35,0.82,10.6,0.38
0.51,0.54,10.5,0.09
0.915,0.54,11.1,0.29
0.46,0.87,10.2,0.63
0.63,0.58,9.0,0.0
0.38,0.76,10.4,0.51
0.39,1.22,9.5,0.44
0.32,0.73,11.4,0.56
0.43,0.55,9.5,0.44
0.545,0.67,10.7,0.06
0.29,0.73,11.9,0.42
0.33,0.89,11.1,0.45
0.41,1.26,9.4,0.76
0.53,0.57,9.5,0.24
0.9,0.56,9.8,0.06
0.59,0.65,11.0,0.59
0.51,0.57,11.5,0.14
0.46,0.6,10.6,0.24
0.54,0.61,9.4,0.24
0.43,0.64,9.5,0.29
0.38,0.55,11.4,0.57
0.58,0.76,11.6,0.02
0.28,0.7,12.8,0.4
0.52,0.57,10.0,0.03
0.36,0.55,12.8,0.32
0.78,0.56,10.6,0.22
0.44,0.69,11.9,0.46
0.62,0.53,9.7,0.06
0.65,0.67,9.5,0.02
0.48,0.68,11.2,0.07
0.785,0.52,9.56666666666667,0.19
0.54,0.91,9.4,0.04
0.49,1.17,9.0,0.51
0.49,0.48,9.2,0.18
0.52,0.86,10.6,0.09
0.59,0.49,9.4,0.26
0.63,0.53,10.8,0.01
0.54,0.58,11.4,0.04
0.63,0.58,9.8,0.27
0.36,1.06,9.4,0.6
0.68,0.6,10.2,0.24
0.63,0.61,9.5,0.12
0.38,0.77,11.4,0.49
0.74,0.63,11.5,0.03
0.48,0.59,12.1,0.53
0.725,0.49,10.8,0.09
0.5,0.45,9.5,0.0
0.52,2.0,9.4,1.0
0.22,0.87,10.3,0.24
0.705,0.49,9.7,0.1
0.32,0.61,10.6,0.65
0.7,0.56,9.4,0.0
0.49,0.54,9.7,0.19
0.65,0.55,9.5,0.1
0.41,0.56,10.5,0.37
0.67,0.67,11.3,0.15
0.46,0.57,10.0,0.11
0.61,0.77,11.1,0.08
0.37,0.67,9.3,0.23
0.37,0.82,10.4,0.55
0.8,0.48,9.9,0.11
0.655,0.42,9.6,0.26
0.26,0.54,9.6,0.45
0.47,0.58,10.9,0.0
0.25,0.83,10.6,0.46
0.64,0.63,12.0,0.09
0.52,0.48,10.2,0.25
0.55,0.68,10.5,0.19
0.45,0.6,9.5,0.34
0.35,0.91,11.0,0.49
0.42,0.44,10.4,0.32
0.64,0.52,10.2,0.1
0.955,0.44,9.6,0.05
0.41,0.53,10.0,0.58
0.26,0.7,9.6,0.37
0.43,0.69,10.5,0.35
0.39,0.56,9.3,0.16
0.585,0.48,9.8,0.18
0.63,0.63,10.2,0.28
0.41,0.49,11.8,0.45
0.29,0.54,10.3,0.25
0.715,0.59,9.9,0.24
0.43,1.28,9.4,0.7
0.56,0.57,10.6,0.03
0.34,0.48,9.4,0.28
0.22,0.82,10.0,0.3
0.37,0.81,10.8,0.44
0.43,0.46,9.4,0.36
0.635,0.57,10.4,0.36
0.745,0.59,9.5,0.12
0.34,0.62,9.2,0.37
0.35,0.65,11.0,0.53
0.43,0.73,10.0,0.24
0.69,0.67,9.8,0.04
0.64,0.69,10.1,0.1
0.38,0.56,9.4,0.36
0.4,0.58,9.4,0.18
0.79,0.44,9.2,0.21
0.565,0.61,9.5,0.34
0.31,0.7,10.0,0.09
0.81,0.42,9.2,0.25
0.4,0.49,11.3,0.32
0.4,0.86,10.5,0.4
0.49,0.58,9.0,0.58
0.44,0.58,9.2,0.49
0.37,0.7,9.6,0.2
0.64,0.66,9.8,0.21
0.365,0.78,11.0,0.49
0.48,0.66,12.4,0.34
0.67,0.62,9.4,0.55
0.46,0.64,10.4,0.2
0.36,0.82,11.0,0.39
0.56,0.62,9.3,0.2
0.69,0.48,9.5,0.22
0.36,0.85,11.0,0.46
0.36,0.62,9.5,0.31
0.82,0.63,9.8,0.14
0.48,0.62,12.2,0.04
0.365,0.78,11.0,0.49
0.48,0.62,9.4,0.32
0.52,0.58,9.6,0.11
0.6,0.55,9.5,0.04
0.715,0.57,11.8,0.01
0.62,0.51,11.8,0.01
0.27,0.72,10.6,0.6
0.6,0.59,9.2,0.13
0.49,0.64,9.8,0.19
0.935,0.64,11.3,0.22
0.615,0.52,9.9,0.0
0.59,1.61,9.5,0.5
0.4,0.69,10.6,0.31
0.5,0.77,10.8,0.36
0.57,0.7,9.6,0.06
0.545,0.67,10.7,0.06
0.42,0.93,11.8,0.5
0.69,0.47,9.7,0.11
0.49,0.51,10.5,0.19
0.63,0.6,10.4,0.5
0.46,0.56,9.2,0.23
0.35,0.43,9.4,0.45
0.61,0.61,10.2,0.3
0.54,0.56,10.9,0.31
0.52,0.81,9.6,0.07
0.965,0.5,9.5,0.1
1.115,0.6,11.2,0.1
0.64,0.7,10.9,0.23
0.43,0.87,11.4,0.5
0.53,0.61,9.4,0.49
0.39,0.54,9.4,0.31
0.6,0.52,9.9,0.26
0.66,0.57,9.7,0.03
0.81,0.66,10.8,0.05
0.56,0.66,9.6,0.08
0.38,0.57,13.2,0.48
0.51,0.54,10.5,0.02
0.43,0.64,10.4,0.17
0.61,0.65,9.8,0.01
0.38,0.75,10.5,0.42
0.36,0.52,12.7,0.19
0.53,0.48,9.8,0.06
0.3,0.84,11.7,0.34
0.52,0.62,9.5,0.16
0.49,0.58,9.0,0.33
0.74,0.59,12.5,0.0
0.48,0.65,10.0,0.32
0.41,0.64,10.1,0.31
0.4,0.92,9.5,0.29
0.18,0.44,12.7,0.37
0.67,0.54,9.5,0.1
0.35,0.79,11.1,0.6
0.64,0.54,9.6,0.17
0.5,0.75,8.8,0.5
0.78,0.53,10.0,0.1
0.545,0.59,9.0,0.18
0.61,0.6,10.2,0.18
0.67,0.63,10.1,0.05
0.33,0.74,11.2,0.63
0.41,0.81,10.8,0.63
0.5,0.62,9.5,0.09
0.4,0.63,10.5,0.31
0.6,1.17,10.2,0.3
0.34,0.54,10.1,0.21
0.57,0.71,11.3,0.12
0.29,0.68,11.4,0.75
0.32,0.55,9.2,0.25
0.64,0.63,11.3,0.0
0.4,0.66,13.6,0.5
0.53,0.46,9.8,0.01
0.31,1.02,10.6,0.49
0.56,0.65,10.1,0.23
0.72,0.54,9.6,0.01
0.64,0.45,9.9,0.21
0.53,0.57,9.4,0.26
0.61,0.51,9.3,0.3
0.665,0.51,9.3,0.1
0.625,0.99,13.3,0.66
0.395,0.64,12.2,0.46
0.49,0.48,9.4,0.24
0.44,0.85,12.0,0.73
0.6,0.53,9.8,0.25
0.685,0.55,9.4,0.26
0.655,0.39,9.5,0.03
0.44,0.69,11.3,0.09
0.59,0.54,9.4,0.33
0.46,0.6,10.6,0.24
0.835,0.47,9.6,0.03
0.52,0.6,9.8,0.03
0.74,0.63,11.5,0.03
0.96,0.44,10.9,0.2
0.66,0.54,9.6,0.15
0.58,0.57,9.0,0.66
0.32,1.08,9.2,0.51
0.33,0.56,11.5,0.32
0.67,0.74,9.7,0.0
0.38,0.71,10.9,0.56
0.6,0.49,9.1,0.29
1.185,0.54,10.7,0.0
0.69,0.51,9.9,0.21
0.42,0.63,9.6,0.57
0.63,0.55,10.4,0.07
0.42,0.64,9.0,0.31
0.705,0.72,10.0,0.12
0.31,0.86,10.7,0.49
0.715,0.77,9.5,0.15
0.53,0.68,10.3,0.08
0.65,0.6,9.1,0.18
0.49,0.93,12.0,0.67
0.51,0.56,9.5,0.01
0.66,0.57,9.7,0.03
0.59,0.58,10.7,0.01
0.6,0.66,9.8,0.1
0.34,0.44,10.1,0.25
0.41,0.79,12.2,0.48
0.32,0.92,10.8,0.55
0.57,0.68,9.5,0.02
0.36,0.84,14.9,0.65
0.295,0.51,10.9,0.4
0.83,0.6,10.4,0.0
0.7,0.6,11.9,0.15
0.645,0.71,10.2,0.12
0.38,0.52,9.9,0.06
0.56,0.93,9.5,0.19
0.34,0.56,12.0,0.27
0.48,0.56,10.0,0.24
0.42,0.73,13.6,0.0
0.38,0.65,11.8,0.46
0.42,0.61,9.2,0.17
0.8,0.5,12.2,0.03
0.37,0.57,10.5,0.5
0.5,0.55,9.5,0.33
0.5,0.44,9.6,0.49
0.415,0.8,10.0,0.68
0.26,0.47,10.8,0.3
0.52,0.79,12.1,0.38
0.28,0.75,10.5,0.56
0.73,0.52,9.3,0.02
0.715,0.45,9.4,0.0
0.62,0.62,10.8,0.35
0.56,0.68,10.55,0.17
0.5,0.62,9.4,0.35
0.6,0.58,10.5,0.08
0.66,0.56,9.4,0.0
0.67,0.47,10.0,0.39
0.27,0.52,12.5,0.49
0.45,0.57,9.7,0.49
0.49,0.64,9.6,0.26
0.58,0.58,11.2,0.16
0.37,0.8,9.3,0.41
0.63,0.58,9.8,0.03
0.735,0.64,9.3,0.16
0.64,0.66,9.8,0.21
0.19,0.44,9.5,0.21
0.69,0.54,9.2,0.08
0.48,0.66,11.7,0.64
0.49,0.82,14.0,0.03
0.38,0.75,12.6,0.4
0.37,0.73,11.3,0.32
1.13,0.48,9.8,0.09
0.34,0.66,11.6,0.4
0.3,0.82,11.9,0.42
0.3,0.72,11.8,0.38
0.43,0.91,9.5,0.21
0.61,0.53,9.8,0.26
0.83,0.45,9.6,0.09
0.86,0.62,10.0,0.26
0.56,0.54,9.5,0.19
1.02,0.55,11.2,0.0
0.39,0.49,9.5,0.63
0.765,0.55,9.4,0.22
0.25,0.6,11.9,0.43
0.39,0.75,10.2,0.4
0.6,0.49,9.4,0.26
0.38,0.68,9.8,0.66
0.5,0.63,9.2,0.25
0.58,1.03,11.6,0.56
0.43,0.71,10.5,0.42
0.45,0.57,9.7,0.49
0.56,0.49,9.9,0.18
0.37,0.81,11.2,0.43
0.57,0.62,10.8,0.02
0.51,0.73,9.5,0.18
0.3,0.85,11.7,0.41
0.42,0.74,14.0,0.0
0.31,0.58,9.2,0.37
0.835,0.85,13.0,0.08
0.53,0.83,10.3,0.06
0.685,0.68,11.2,0.76
0.3,0.92,11.7,0.56
0.35,0.52,12.0,0.47
0.7,0.58,10.2,0.08
0.635,0.59,10.3,0.17
0.42,0.75,11.7,0.66
0.67,0.49,11.4,0.08
0.6,0.53,9.8,0.25
0.36,1.05,9.4,0.59
0.57,0.56,11.2,0.0
0.21,0.68,11.7,0.49
0.5,0.45,9.5,0.0
0.98,0.46,11.2,0.01
0.39,0.55,12.1,0.23
0.48,0.67,11.2,0.3
0.49,0.69,9.2,0.2
0.34,0.59,9.4,0.37
0.75,0.52,10.1,0.12
0.52,0.61,9.5,0.34
1.09,0.43,11.4,0.06
0.5,0.8,10.5,0.36
0.22,0.53,9.4,0.48
0.27,0.53,12.5,0.54
0.735,0.57,9.8,0.05
0.54,0.74,9.2,0.26
0.53,0.59,10.7,0.06
0.785,0.61,10.0,0.0
0.75,0.64,10.5,0.14
0.47,0.88,13.6,0.11
0.43,0.68,10.0,0.33
0.4,0.9,13.4,0.51
0.66,0.96,9.9,0.0
0.31,0.81,12.5,0.45
0.715,0.54,9.5,0.22
0.785,0.86,9.4,0.0
0.785,0.52,9.6,0.19
0.48,0.72,11.2,0.29
0.27,1.08,9.9,0.68
0.63,0.79,9.3,0.31
0.3,0.97,10.1,0.6
0.63,0.77,9.4,0.12
0.645,0.55,9.6,0.0
0.43,0.5,9.6,0.39
0.5,0.57,9.1,0.47
0.66,0.53,9.0,0.7
0.75,0.4,12.8,0.01
0.84,0.72,9.23333333333333,0.21
0.715,0.61,11.0,0.19
0.84,0.57,11.0,0.02
0.59,0.56,9.6,0.49
0.69,0.61,9.1,0.05
0.33,0.76,10.7,0.49
0.62,0.58,9.3,0.21
0.74,0.5,9.8,0.08
0.46,0.65,9.8,0.14
0.42,0.77,12.1,0.47
0.88,0.5,11.2,0.03
0.53,0.76,11.6,0.57
0.45,0.76,10.3,0.55
0.44,0.58,11.4,0.0
0.48,0.59,12.1,0.53
0.64,0.58,9.6,0.07
0.31,0.56,12.6,0.32
0.39,0.53,13.3,0.12
0.29,1.36,10.3,0.35
0.685,0.61,9.3,0.23
0.98,0.48,9.4,0.32
0.695,0.54,10.1,0.13
0.66,0.96,9.9,0.0
0.745,0.82,9.6,0.11
0.36,0.67,10.5,0.34
0.4,0.61,10.5,0.44
0.36,0.88,13.6,0.34
0.24,0.59,9.5,0.39
0.58,0.49,9.8,0.1
0.87,0.46,9.2,0.26
0.6,0.62,9.5,0.32
0.52,0.52,9.4,0.38
0.48,0.54,11.2,0.09
0.57,0.61,10.2,0.02
0.28,0.62,12.4,0.48
0.74,0.59,11.0,0.0
0.38,0.76,11.3,0.31
0.69,0.6,11.3,0.07
0.38,0.59,9.5,0.3
0.665,0.73,9.3,0.0
0.38,0.73,9.7,0.28
0.61,0.73,10.5,0.01
0.27,1.13,12.0,0.53
0.57,0.54,9.8,0.21
0.69,0.71,9.3,0.49
0.34,0.66,9.2,0.45
0.37,0.65,12.8,0.69
0.56,0.6,10.5,0.15
0.31,0.93,9.8,0.51
0.61,0.37,10.4,0.0
0.44,0.83,11.5,0.5
0.62,0.63,9.3,0.05
0.58,0.59,10.2,0.3
0.26,0.7,9.6,0.37
0.4,0.58,10.0,0.24
0.65,0.8,9.7,0.02
0.4,0.65,11.2,0.37
0.475,0.65,10.0333333333333,0.4
0.67,0.68,11.0666666666667,0.02
0.56,0.92,10.0,0.31
0.62,0.48,9.8,0.06
0.45,0.69,10.9,0.63
0.42,0.61,9.2,0.17
0.59,0.63,9.5,0.44
0.38,0.72,12.9,0.38
0.68,0.66,11.3,0.01
0.54,0.83,11.8,0.71
0.33,0.73,12.0,0.38
0.5,0.52,10.7,0.34
0.28,0.7,12.8,0.4
0.745,0.47,9.7,0.18
0.815,0.51,9.8,0.0
0.805,0.56,9.6,0.0
0.46,0.49,10.7,0.14
0.34,0.6,11.4,0.42
0.51,0.54,10.5,0.02
0.54,0.62,9.4,0.45
0.645,0.42,10.0,0.36
0.59,0.63,9.5,0.44
0.54,0.51,10.4,0.02
0.41,0.55,9.5,0.31
0.55,0.6,10.9,0.04
0.32,0.82,9.6,0.54
0.2,0.81,10.4,0.43
0.36,0.55,12.8,0.32
0.24,0.94,10.9,0.34
0.45,0.65,9.3,0.23
0.28,1.04,10.6,0.48
0.725,1.07,9.3,0.24
0.42,0.57,11.3,0.27
0.32,0.78,9.6,0.59
0.69,0.6,10.2,0.08
0.41,0.76,9.9,0.54
0.6,0.57,11.4,0.49
0.78,0.49,9.5,0.1
0.18,0.7,11.1,0.4
0.895,0.58,10.8,0.04
0.52,0.52,9.3,0.11
0.65,0.64,10.4,0.37
1.025,0.57,10.1,0.43
0.33,0.76,12.8,0.32
0.36,0.66,12.5,0.64
0.24,0.59,11.3,0.35
0.61,1.02,9.3,0.49
0.68,0.6,10.3,0.21
0.61,0.5,10.0,0.19
0.645,0.74,11.1,0.49
0.28,0.6,10.9,0.46
0.38,0.61,10.3,0.49
0.18,0.93,11.3,0.4
0.42,0.57,9.1,0.25
0.63,0.66,9.8,0.21
0.57,0.78,10.7,0.5
0.91,0.43,10.7,0.07
0.58,0.72,9.6,0.25
0.28,0.9,11.3,0.3
0.2,0.71,10.5,0.48
0.51,0.74,9.2,0.28
0.46,0.51,9.4,0.23
0.45,0.83,10.5,0.36
0.39,0.87,11.2,0.43
0.705,1.59,9.5,0.24
0.58,0.54,9.2,0.08
0.78,1.17,9.2,0.51
0.21,0.84,9.2,0.44
0.7,0.6,9.0,0.24
0.49,0.6,9.5,0.36
0.58,0.57,9.5,0.02
0.66,0.74,9.2,0.26
0.53,0.56,10.2,0.22
0.755,1.36,10.2,0.18
0.62,0.89,11.8,0.12
0.67,0.68,11.1,0.02
0.43,0.46,11.9,0.3
0.12,0.76,11.9,0.45
0.63,0.58,9.0,0.0
0.36,0.72,11.0,0.32
0.795,0.52,11.6,0.0
0.5,0.6,9.7,0.34
0.46,0.63,9.5,0.31
0.715,0.64,9.4,0.2
0.39,0.58,9.4,0.08
0.46,0.74,9.2,0.26
0.56,0.54,9.5,0.19
0.26,0.87,10.9,0.48
0.45,0.71,10.8,0.33
0.31,0.85,11.4,0.41
0.56,0.52,9.9,0.26
0.5,0.72,10.9,0.45
0.36,0.73,10.9,0.39
0.53,0.54,9.4,0.24
0.72,0.94,10.0,0.55
0.49,0.58,9.0,0.33
0.43,0.46,9.4,0.36
0.35,0.58,9.5,0.26
0.71,0.53,9.5,0.0
0.42,0.56,10.9,0.19
0.755,0.5,9.5,0.15
0.18,0.76,11.8,0.51
0.54,0.61,9.4,0.13
0.49,0.78,10.9,0.36
0.69,0.72,10.2,0.0
0.5,0.79,10.7,0.49
0.65,0.47,10.0,0.0
0.4,0.55,9.4,0.49
0.655,0.66,9.8,0.12
0.51,0.66,11.8,0.64
0.18,0.44,12.7,0.37
0.32,0.71,11.8,0.42
0.31,0.66,11.0,0.47
0.32,0.62,10.1,0.23
0.55,0.78,9.5,0.24
0.56,0.62,9.3,0.14
0.715,0.77,9.5,0.15
0.96,0.44,10.9,0.2
0.98,0.55,9.7,0.05
0.52,0.54,9.5,0.26
0.62,0.7,9.4,0.04
0.28,0.39,11.7,0.28
0.64,0.58,11.0,0.22
0.815,0.89,12.3,0.02
0.82,0.53,9.4,0.29
0.78,0.47,10.0,0.08
1.07,0.57,9.0,0.09
0.57,0.74,12.7,0.09
0.41,0.75,11.1,0.33
0.25,0.86,10.2,0.34
0.46,0.62,9.8,0.29
0.6,0.57,9.7,0.5
0.3,0.64,12.1,0.49
0.52,0.6,9.3,0.33
0.935,0.73,9.2,0.43
0.35,0.75,10.4,0.49
0.54,0.59,9.7,0.26
0.58,0.59,9.8,0.14
0.31,0.82,9.8,0.72
0.43,0.64,9.5,0.49
0.53,0.61,12.1,0.14
0.4,0.48,9.4,0.1
0.34,0.66,9.2,0.45
0.31,0.68,11.2,0.4
0.5,0.75,8.8,0.5
0.45,0.56,9.2,0.2
0.28,0.39,11.7,0.28
0.5,0.62,10.7,0.39
0.28,0.79,10.2,0.46
0.47,0.48,12.3,0.0
0.18,0.78,11.8,0.34
0.775,0.51,9.6,0.22
0.39,0.46,11.4,0.43
0.67,0.72,11.1,0.0
0.62,0.54,9.5,0.06
0.26,0.82,9.3,0.44
1.02,0.48,10.5,0.04
0.45,0.62,9.5,0.35
0.47,0.8,11.2,0.27
0.68,0.52,9.5,0.07
0.61,0.65,9.8,0.01
0.53,0.64,10.0,0.0
0.69,0.51,9.5,0.32
0.41,0.66,10.5,0.64
0.32,0.55,12.3,0.42
0.35,0.53,10.5,0.48
0.67,0.47,10.0,0.39
0.88,0.67,11.2,0.25
0.55,0.56,9.2,0.35
0.52,0.57,9.9,0.22
0.59,0.56,9.7,0.14
0.57,0.9,10.1,0.25
0.29,0.74,10.5,0.49
0.67,1.14,9.4,0.26
0.26,0.79,10.9,0.26
0.35,0.81,11.0,0.33
0.975,0.6,9.4,0.04
0.88,0.56,9.9,0.04
0.34,0.48,9.4,0.28
0.63,0.64,10.1,0.33
0.54,0.58,11.4,0.04
0.16,0.71,11.2,0.64
0.69,0.6,11.3,0.07
0.31,0.67,9.7,0.44
0.56,0.56,10.1,0.24
1.33,0.48,10.9,0.0
0.575,0.51,9.2,0.22
0.88,0.53,9.4,0.28
0.3,0.72,11.8,0.38
0.57,0.68,9.5,0.02
0.46,0.79,14.0,0.45
0.59,0.54,9.4,0.18
0.845,0.58,11.0,0.01
0.36,0.62,11.3,0.52
0.735,0.71,9.8,0.08
0.24,0.9,11.0,0.47
0.43,0.61,11.3,0.52
0.21,0.67,10.4,0.52
0.43,0.6,9.5,0.22
0.39,0.84,11.5,0.44
0.34,0.77,12.1,0.33
0.49,0.63,12.0,0.27
0.57,0.62,10.8,0.02
0.3,0.78,10.8,0.63
0.685,0.57,10.6,0.0
0.38,0.65,8.5,0.38
0.34,0.55,11.4,0.42
0.49,0.43,9.2,0.49
0.655,0.55,9.7,0.16
0.59,0.61,10.0,0.05
0.29,0.63,11.8,0.65
0.88,0.68,9.8,0.0
0.52,0.5,11.0,0.25
0.73,0.57,11.0,0.43
0.745,0.66,9.4,0.56
1.005,0.48,10.0,0.15
0.4,0.6,9.3,0.51
0.76,0.6,11.5,0.0
0.68,0.52,10.0,0.02
0.58,0.84,9.4,0.0
0.55,0.67,9.6,0.66
0.305,0.52,11.5,0.39
0.38,0.65,11.6,0.5
0.26,0.72,10.2,0.52
0.46,0.56,9.0,0.52
0.5,0.64,9.5,0.46
0.55,0.61,9.4,0.17
0.685,0.55,10.9,0.07
0.45,1.11,11.0,0.5
0.36,0.6,10.1,0.25
0.675,0.53,9.2,0.26
0.58,0.49,11.7,0.2
0.56,0.82,11.2,0.22
0.69,0.74,11.6,0.31
0.67,0.71,9.6,0.06
0.33,0.8,9.6,0.53
0.39,0.63,10.8,0.66
0.66,0.71,11.5,0.39
1.02,0.49,11.0,0.02
0.58,0.48,10.5,0.12
0.49,0.59,12.5,0.0
0.71,0.55,9.4,0.0
0.39,0.61,9.0,0.3
0.56,0.93,9.5,0.19
0.22,0.87,11.0,0.36
0.24,0.94,10.9,0.34
0.44,0.86,9.9,0.42
0.39,0.84,11.4,0.46
0.26,0.8,9.4,0.42
0.57,0.6,10.3,0.05
0.43,0.58,10.5,0.25
0.41,0.76,11.3,0.54
0.38,0.47,9.5,0.21
1.04,0.57,11.0,0.08
0.6,0.57,11.4,0.49
0.59,0.65,9.3,0.0
0.41,0.64,10.1,0.31
0.41,0.77,12.6,0.41
0.63,0.56,9.5,0.33
0.67,0.48,9.5,0.23
